"NUTS","Country","Population","Population_density","Students_in_tertiary_education","%_early_leavers_from_education","%_of_NEET","%_of_people_studying_or_training","Students","Life_expectancy","Deaths","Discharges_after_respiratory_disease","Hospital_beds","Health_personnel","Air_passengers","Vehicles","Farm_labour_force","Utilised_agricoltural_area","Unemployement_rate","Compensation_of_employees","Hours_worked","GDP","GVA","First_wave_density","Second_wave_density","Latitude","Longitude"
"SK03","SK",1336785,82.7,23727,7.4,10.2,3.2,54700,77.2,1015.35,74798,583.78,4427,1420.5,620756,14070,465740,6.7,7776.08,959293,18834.04,112.2,0.000437617118684007,0.0513971955101232,48.796,19.3647
"SK04","SK",1627704,103.9,29713,12,15.4,2.7,77254,77.6,874.13,74798,630.22,5654,556,657730,11910,539840,10.5,7510.14,954483,19760.78,111.8,0.000477973882229201,0.0490039958125065,48.9446,21.2527
"FR23","FR",3313432,183.262962962963,95695.4642857143,9.61304347826087,13.6961538461538,11.8115384615385,209502,82.4153846153846,1042.21242506259,42270,1167.79,9536,415,1587320.57692308,42650,1994140,9.7,46032.26,1602218.19296296,87058.3928571429,105.410714285714,0.000566783926756306,0.00193183382064277,49.3107,0.9341
"FR24","FR",2565726,65.4,66401,9,11.6,12.3,161345,82.7,1017.94,27993,597.56,6680,195,1595131,34330,2302910,8.9,38148.25,1512597.08,76329.73,104.3,0.000920986886362768,0.00196864357300819,47.55,1.5908
"FR26","FR",2794517,183.262962962963,95695.4642857143,9.61304347826087,13.6961538461538,11.8115384615385,165883,82.4153846153846,1080.32980296774,33047,1256.2,8410,8663.625,1587320.57692308,45540,2415360,9.7,46032.26,1602218.19296296,87058.3928571429,105.410714285714,0.00146572735109502,0.00343028866884689,47.0656,4.1819
"FR30","FR",5987795,183.262962962963,95695.4642857143,9.61304347826087,13.6961538461538,11.8115384615385,406551,82.4153846153846,929.290331415822,81308,1164.71,17969,6164,1587320.57692308,41070,2130000,9.7,46032.26,1602218.19296296,87058.3928571429,105.410714285714,0.00119827081588465,0.00264838726108693,50.3672,2.8932
"FR41","FR",5536002,183.262962962963,95695.4642857143,9.61304347826087,13.6961538461538,11.8115384615385,333762,82.4153846153846,963.204131790415,50089.6551724138,1763.8,17734,10674,1587320.57692308,71010,3004300,9.7,46032.26,1602218.19296296,87058.3928571429,105.410714285714,0.00234447169636138,0.00260043258654892,48.7255,6.2643
"FR51","FR",3818421,118.3,132945,8.2,10.5,14.4,248824,83.4,898.22,35057,500.32,11161,7204,2383299,59700,2092730,6.9,62000.71,2451013.79,121220.27,107.5,0.00061753274455593,0.00156530670662035,47.4727,-0.8859
"FR52","FR",3358524,122.4,126447,4.5,8.3,13.7,205431,82.5,1041.05,35921,590.26,10919,2054,2179344,54190,1643670,6.7,50594.47,2081611.66,101355.39,106.7,0.000408512787164838,0.00095428825281582,48.0984,-2.6897
"FR61","FR",6018424,183.262962962963,95695.4642857143,9.61304347826087,13.6961538461538,11.8115384615385,341557,82.4153846153846,1088.75679081434,65340,1936.64,20468,10146,1587320.57692308,116560,4025650,9.7,46032.26,1602218.19296296,87058.3928571429,105.410714285714,0.000382326004282849,0.00143077323897419,44.2823,-0.4929
"FR62","FR",5951850,183.262962962963,95695.4642857143,9.61304347826087,13.6961538461538,11.8115384615385,351771,82.4153846153846,1003.15028100507,63231,1266.14,20995,13309,1587320.57692308,98440,3546580,9.7,46032.26,1602218.19296296,87058.3928571429,105.410714285714,0.000509085410418609,0.0017834790863345,43.8436,1.5622
"FR71","FR",8064146,183.262962962963,95695.4642857143,9.61304347826087,13.6961538461538,11.8115384615385,517394,82.4153846153846,867.667822482381,83536,1286.59,27342,12628,1587320.57692308,82670,2934530,9.7,46032.26,1602218.19296296,87058.3928571429,105.410714285714,0.00102379098791118,0.00345913876063256,45.2864,5.2857
"FR82","FR",5077582,162.4,158427,8.2,13.2,11.1,315357,82.4153846153846,989.25,60815,688.32,20491,25090,3266173,37580,802030,8,85356.59,3181779.79,170603.5,106.9,0.00119387535248077,0.0038851169710307,43.9434,5.9746
"HR04","HR",2684363,85.8,114300,2.6,13.6,3.1,106492,77.9,1320.16,27981,579.08,9642,3410,1225400,138360,1103790,7.5,16483.53,1962213.7,36691.62,109.6,0.00164731819057259,0.0596007320917476,45.6127,17.2044
"FI18","FI",1148794,36.6,55971,8.2,8.8,24.8,72389,82.4,1136.41,17816.4714855571,342.38,10955,455,951005,35060,1432590,7.7,19558.22,814235.74,44755.99,109.7,0.00065546999723188,0.00670181076851028,60.8362,25.6751
"FI1A","FI",1278237,6.3,68190,8.6,10.5,26.1,88922,82.4,1113.12,19823.983292291,388.16,4757,3018,1091286,46140,1336730,8.8,20896.46,902480.87,46441.87,109.8,0.000201058176222406,0.00211697830683981,66.6044,25.3437
