"NUTS","Country","Population","Population_density","Students_in_tertiary_education","%_early_leavers_from_education","%_of_NEET","%_of_people_studying_or_training","Students","Life_expectancy","Deaths","Discharges_after_respiratory_disease","Hospital_beds","Health_personnel","Air_passengers","Vehicles","Farm_labour_force","Utilised_agricoltural_area","Unemployement_rate","Compensation_of_employees","Hours_worked","GDP","GVA","First_wave_density","Second_wave_density","Latitude","Longitude"
"FR10","FR",12291557,1026.8,713715,5.9,9.8,12.7,831044,82.4153846153846,613.93,120593,534.57,47481,107991,6334433,8290,571640,8.2,382297.39,9742156.29,742569.25,107.3,0.00246526945284475,0.00278963844857084,48.7196,2.5234
"FRM0","FR",345867,39.6,5603,6.9,18.8,7.5,16787,84,929.07,3146,596.41,1038,4249,249281,4110,159000,8.1,5250.68,199292.65,9780.82,109.2,0.000740168908858029,0.00102640610408047,42.1267,9.0976
"HR03","HR",1373802,56,49566,1.4,9.4,3.1,52844,79.9,1225.69,11247,524.77,4504,7692,713705,36690,467420,7.5,7882.59,1017609.69,17546.29,108.8,0.00191876267467947,0.0528613293618731,44.4289,15.5424
"ITC1","IT",4311217,172.3,131326,12,16.6,7,198720,83.3,1213.45,44617,346.77,15758,3997,3345362,55530,948580,7.5,55097.7,3296619.7,137781.87,105,0.00747352777649559,0.0477651670050475,45.0634,7.9189
"ITC2","IT",125034,38.6,1154,11.86,14.7,7.5,5789,83.6,1147.43,1553,359.01,461,12034.125,271983,2180,52490,5.8,1714,109158.8,4868.04,101.5,0.00974934817729577,0.0538893420989491,45.7281,7.3925
"ITC3","IT",1524826,284.3,34415,10.7,15.4,8.7,64847,83.5,1416.52,20107,351.56,6956,1539,953358,11740,37330,8.3,18559.1,1141935.5,49740.73,101,0.00692603615101002,0.0425924007067036,44.1573,8.1521
"ITC4","IT",10027602,435.8,328322,11.9,15.7,7.9,494636,84.2,982.92,105664,350.53,36969,49096,6967861,52530,922320,5,157914.2,8286969.6,398779.09,106.4,0.00974460294694584,0.0477729371389092,45.6127,9.773
"ITF1","IT",1293941,120.5,49265,8,15.5,6.9,57390,83.7,1111.32,13863,293.07,5498,699,1025132,27030,424160,9.3,12901,905173.3,33130.95,100.6,0.00276674129655062,0.0363300954216614,42.2341,13.8714
"ITF2","IT",300516,68.2,8407,8.6,25.5,7.1,12603,83.6,1177.64,2038,300.18,1220,12034.125,254927,11790,174200,9.5,2451.7,195985.9,6489.57,103.5,0.00167711536157809,0.0316122935218092,41.5949,14.5396
"ITF3","IT",5712143,422.2,227318,17.3,28,5.3,291518,82.1,924.17,48380,252.21,21981,10834,3958323,66720,509000,17.9,43228.2,3223203.9,109630.67,101.7,0.000954632963495487,0.0430664988604102,41.0387,14.7373
"ITF4","IT",3953305,206.8,91130,15.6,22.7,5.5,184553,83.7,960.47,37549,283.3,15002,8294,2697746,95800,1184540,14,31460.7,2451686,77475.32,103.1,0.00124806965311303,0.0340894517372173,41.0043,16.5847
"ITF5","IT",553254,55.7,7772,10.1,21,7.1,23135,83,1091.16,6845,288.35,1876,12034.125,439965,22810,484630,8.6,4839.5,367471.8,13089.85,105.9,0.000891091614339887,0.0258217744471798,40.5157,16.0794
"ITF6","IT",1894110,126.5,46395,16.6,26.5,5.6,87937,82.8,1007.27,14011,248.18,7258,3536,1488082,49020,498400,20.1,13009.7,1077528.8,33619.41,99.2,0.000726462560252572,0.0184989256167804,39.1604,16.3822
"ITG1","IT",4875290,192.1,119324,19.4,29.3,4.7,237664,82.3,1027.28,41690,281.95,21163,18182,3787735,86910,1326110,17.9,35708.9,2618000.7,89365.04,99.8,0.000794209164993262,0.0296811061495829,37.5704,14.1658
"ITG2","IT",1611621,68.3,41592,12,19.3,8.6,66624,83.6,994.66,17631,301.25,7595,9097,1237233,36340,1134540,13.3,14140.3,1033426.6,35255.67,99.6,0.000971692476084638,0.0242538413187716,40.0775,9.0348
"ITH1","IT",532644,72.2,4735,14.2,10.4,7.1,27774,84.5,826.12,5683,349.97,1770,37,570247,14860,227900,3.8,9836.2,538871.1,25515.9,107.8,0.00531499463056,0.0909519303700032,46.7053,11.4241
"ITH2","IT",545425,88.2,18288,7.9,11.6,10.8,27000,84.9,916.56,4368,347.06,1768,12034.125,791582,32050,272540,5.3,7620.8,461538.9,20967.26,105.6,0.0091818306824953,0.0489728193610487,46.1313,10.859
"ITH3","IT",4879133,282,120980,10.5,12.6,7.6,235939,84.3,995.51,48950,328.97,16900,18404,3621253,181900,1616450,5.8,65182.8,4000567.2,164860.15,105.3,0.00441307912696784,0.0623584149069107,45.661,11.8546
"ITH4","IT",1206216,159.9,32982,8.5,11,8.7,54321,83.9,1174.2,14912,326.82,4756,780,907472,39200,439190,5.6,16230.9,927456.7,38771.59,103.3,0.00293562678657885,0.0581421569602791,46.1665,13.0495
"ITH5","IT",4464119,201.9,169485,9.3,13.2,9.2,212847,84,1113.52,62670,371.56,19026,9905,3345612,147720,2086940,5.7,64216.8,3713821.7,163751.09,106.3,0.00686003218104177,0.0478356423742288,44.5224,11.0296
"ITI1","IT",3692555,162.7,129391,11.7,15.2,8.2,167756,84.1,1152.71,43056,285.45,16212,8233,2943965,129530,1497770,6.6,44979.4,2901702.2,118727.3,103.7,0.00297409246443181,0.0370662048364886,43.4794,11.1306
"ITI2","IT",870165,105.5,27113,11.2,14.9,8.1,38945,84.5,1130.5,10116,302.88,3852,218,728816,38390,639400,8.2,9042.3,637434.2,23267.08,103.4,0.00181344917343262,0.0472806881453517,42.9717,12.4893
"ITI3","IT",1512672,161.9,51779,9.8,14.6,6.2,70983,84.4,1112.52,16746,301.75,5681,482,1183635,56160,939040,7.4,16654.7,1157674.9,42391.85,102.6,0.00467847623278543,0.0371349506039644,43.3477,13.153
"ITI4","IT",5755700,343,294502,11.9,17.6,7.8,273929,83.8,979.13,53245,338.37,26986,49250,4225066,112980,1241600,9.1,81787.6,4565242.9,200839.55,104.1,0.00163472731379328,0.0374159528814914,41.9898,12.7501
"LU00","LU",626108,239.8,7102,8.2,6.6,16.3,39175,82.7,674.73,9710.21377973702,426.45,1780,4366,479052,3530,131040,6.8,31400.94,698398.03,63516.34,112.1,0.0101020910130521,0.0763654193845151,49.771,6.0943
"LV00","LV",1907675,30.2,80355,7.2,7.1,6.6,120787,75.7,1483.83,29904,542.32,6253,7786,828216,82090,1877720,8.1,13899.49,1674916.85,30424.23,111.3,0.000695611149697931,0.0418215891071592,56.6829,26.382
"MT00","MT",514564,1595.1,16068,16.7,9.3,11,26788,82.9,762.02,7980.29484267347,430.84,1925,7318,363815,4450,10880,4.3,5767.22,260107.21,13442,125,0.00292869302943852,0.037414199205541,35.886,14.4312
"NL11","NL",585866,247.9,51402,6.1,5.6,19.9,35459,81.3,962.35,4819,278.069383867612,3170,16238.8,323115,5600,162960,5.2,10559,408746,24669.25,97.4,0.000914884973697057,0.0389389382555055,53.2675,6.6929
"NL12","NL",649957,191,25784,6.4,4.5,16.4,45161,82,988.31,5330,210.601666166235,1530,16238.8,393870,9450,226440,3.9,9804,438799,20727.69,104.7,0.00118161663002322,0.0370639903870564,53.0649,5.8002
